uid,sid,count
445,171,1
868,177,1
356,1062,1
1317,718,1
1084,524,1
135,756,1
726,394,1
255,352,1
1160,1070,1
1157,379,1
562,574,1
854,844,1
1351,802,1
787,20,1
1070,1196,1
1049,158,1
1189,64,1
157,754,1
1130,324,1
874,1168,1
1513,1117,1
1428,212,1
345,770,1
274,999,1
406,894,1
1418,941,1
1154,87,1
1118,854,1
838,1122,1
1335,242,1
283,396,1
325,794,1
784,749,1
1198,98,1
1297,626,1
1282,567,1
936,907,1
731,997,1
1357,826,1
54,375,1
1026,694,1
150,447,1
543,1070,1
569,814,1
230,958,1
1298,635,1
354,869,1
504,810,1
223,275,1
364,383,1
289,215,1
789,479,1
1412,221,1
429,51,1
203,441,1
873,443,1
1456,1025,1
504,806,1
154,680,1
766,705,1
651,530,1
422,435,1
117,575,1
354,1134,1
662,155,1
670,1074,1
479,499,1
1188,44,1
34,245,1
1485,715,1
1216,211,1
139,768,1
178,655,1
282,1056,1
983,885,1
395,688,1
447,690,1
1090,1184,1
72,463,1
237,251,1
1159,737,1
1447,342,1
310,979,1
363,270,1
998,171,1
543,340,1
956,46,1
520,1174,1
127,557,1
232,970,1
132,733,1
274,411,1
1501,144,1
111,639,1
320,696,1
494,1085,1
1398,302,1
332,1108,1
396,1048,1
190,892,1
908,753,1
95,585,1
1197,90,1
41,292,1
948,433,1
761,883,1
873,741,1
956,122,1
65,448,1
1459,1033,1
100,456,1
1287,591,1
34,235,1
119,413,1
838,56,1
122,457,1
1029,699,1
75,490,1
159,218,1
1286,588,1
1392,894,1
1235,334,1
1226,279,1
940,828,1
378,558,1
134,753,1
109,580,1
404,337,1
1183,16,1
109,627,1
1227,221,1
413,293,1
600,908,1
125,46,1
658,644,1
1268,509,1
207,240,1
819,546,1
34,238,1
198,908,1
86,66,1
1318,719,1
172,653,1
62,430,1
924,818,1
732,924,1
981,1016,1
857,1005,1
34,237,1
411,856,1
27,196,1
302,154,1
923,598,1
625,1080,1
528,961,1
19,126,1
438,962,1
1068,1054,1
641,811,1
1499,1089,1
885,371,1
422,1126,1
1044,1,1
1099,733,1
1284,583,1
1348,790,1
1471,127,1
713,48,1
757,1076,1
1466,1044,1
540,1162,1
276,443,1
820,594,1
934,48,1
23,112,1
580,1179,1
159,820,1
725,783,1
1096,915,1
56,383,1
520,707,1
651,129,1
1388,882,1
48,333,1
892,936,1
771,474,1
95,584,1
376,1130,1
1017,818,1
131,732,1
476,923,1
994,1004,1
1313,706,1
30,210,1
1176,448,1
423,163,1
1272,525,1
521,1111,1
309,475,1
942,468,1
417,188,1
369,634,1
396,688,1
197,217,1
785,643,1
669,1017,1
1222,254,1
1085,1185,1
580,964,1
1086,33,1
28,103,1
899,153,1
925,339,1
401,1052,1
908,671,1
391,617,1
205,375,1
1203,129,1
568,259,1
1394,263,1
183,869,1
713,1085,1
399,151,1
183,184,1
1277,549,1
886,934,1
41,294,1
622,1187,1
743,705,1
272,436,1
907,592,1
623,1193,1
425,118,1
77,505,1
242,987,1
1112,762,1
121,697,1
209,76,1
784,974,1
1212,195,1
164,470,1
47,247,1
69,395,1
304,670,1
331,925,1
280,91,1
1310,220,1
1307,669,1
944,498,1
294,1007,1
1016,1071,1
1134,205,1
681,112,1
1177,118,1
71,437,1
340,648,1
68,54,1
71,475,1
788,588,1
1050,1,1
1332,763,1
1077,121,1
673,527,1
695,319,1
344,388,1
109,622,1
367,488,1
502,1035,1
543,1103,1
148,648,1
1184,19,1
1349,93,1
477,1162,1
640,337,1
426,686,1
392,979,1
413,828,1
774,23,1
1265,493,1
1144,1148,1
548,1178,1
33,230,1
50,350,1
23,164,1
750,780,1
141,391,1
219,649,1
170,383,1
1491,1084,1
1215,210,1
964,894,1
391,120,1
335,367,1
162,607,1
1281,564,1
83,527,1
219,68,1
664,182,1
301,867,1
301,677,1
373,1125,1
964,665,1
942,289,1
1279,554,1
279,1050,1
279,645,1
217,272,1
280,255,1
259,388,1
298,241,1
1203,137,1
1219,233,1
153,798,1
363,631,1
1513,1120,1
520,1129,1
440,570,1
1221,242,1
583,35,1
215,388,1
1262,478,1
1045,536,1
484,123,1
210,312,1
695,1185,1
1112,779,1
477,578,1
914,939,1
726,533,1
882,1027,1
962,1190,1
318,373,1
758,336,1
914,767,1
287,128,1
290,923,1
408,899,1
1044,196,1
217,623,1
222,346,1
325,1105,1
491,1088,1
227,0,1
320,365,1
1320,555,1
884,353,1
283,1062,1
1172,545,1
